culture_code,otu_97,otu_985
434,OTU_082,OTU985_098
435,OTU_041,OTU985_047
436,OTU_013,OTU985_016
437,OTU_083,OTU985_099
438,OTU_020,OTU985_023
439,OTU_038,OTU985_015
440,OTU_052,OTU985_060
441,OTU_008,OTU985_069
442,OTU_084,OTU985_100
443,OTU_011,OTU985_101
445,OTU_038,OTU985_015
446,OTU_038,OTU985_031
447,OTU_020,OTU985_023
448,OTU_052,OTU985_060
449,OTU_045,OTU985_051
450,OTU_064,OTU985_074
452,OTU_045,OTU985_051
453,OTU_085,OTU985_102
455,OTU_008,OTU985_014
457,OTU_086,OTU985_103
458,OTU_038,OTU985_015
459,OTU_052,OTU985_060
461,OTU_087,OTU985_104
462,OTU_048,OTU985_055
464,OTU_016,OTU985_105
465,OTU_038,OTU985_015
467,OTU_083,OTU985_099
468,OTU_088,OTU985_106
469,OTU_008,OTU985_009
470,OTU_089,OTU985_107
471,OTU_052,OTU985_060
472,OTU_031,OTU985_056
473,OTU_004,OTU985_005
474,OTU_020,OTU985_023
475,OTU_001,OTU985_003
477,OTU_043,OTU985_049
478,OTU_083,OTU985_099
479,OTU_020,OTU985_023
480,OTU_031,OTU985_056
481,OTU_068,OTU985_078
482,OTU_027,OTU985_030
483,OTU_007,OTU985_008
484,OTU_090,OTU985_108
485,OTU_037,OTU985_043
486,OTU_027,OTU985_030
487,OTU_052,OTU985_060
488,OTU_068,OTU985_078
489,OTU_008,OTU985_009
490,OTU_020,OTU985_023
491,OTU_052,OTU985_060
492,OTU_027,OTU985_030
493,OTU_038,OTU985_015
494,OTU_038,OTU985_031
495,OTU_008,OTU985_009
496,OTU_004,OTU985_005
497,OTU_080,OTU985_095
499,OTU_008,OTU985_009
500,OTU_020,OTU985_023
501,OTU_038,OTU985_031
502,OTU_038,OTU985_015
503,OTU_091,OTU985_109
504,OTU_068,OTU985_078
505,OTU_038,OTU985_015
506,OTU_003,OTU985_110
507,OTU_092,OTU985_111
508,OTU_045,OTU985_051
509,OTU_052,OTU985_060
510,OTU_030,OTU985_035
511,OTU_006,OTU985_052
512,OTU_043,OTU985_049
513,OTU_093,OTU985_112
515,OTU_027,OTU985_030
516,OTU_059,OTU985_113
518,OTU_002,OTU985_002
519,OTU_082,OTU985_114
520,OTU_080,OTU985_095
521,OTU_094,OTU985_115
522,OTU_002,OTU985_002
523,OTU_080,OTU985_095
524,OTU_080,OTU985_095
525,OTU_080,OTU985_095
526,OTU_095,OTU985_116
527,OTU_031,OTU985_056
528,OTU_096,OTU985_117
529,OTU_097,OTU985_118
530,OTU_038,OTU985_031
531,OTU_006,OTU985_052
532,OTU_098,OTU985_119
533,OTU_099,OTU985_120
534,OTU_099,OTU985_120
535,OTU_100,OTU985_121
536,OTU_101,OTU985_122
537,OTU_102,OTU985_123
538,OTU_103,OTU985_124
539,OTU_104,OTU985_125
540,OTU_105,OTU985_126
541,OTU_106,OTU985_127
542,OTU_107,OTU985_128
543,OTU_108,OTU985_129
544,OTU_099,OTU985_120
545,OTU_103,OTU985_124
546,OTU_107,OTU985_128
548,OTU_109,OTU985_130
549,OTU_080,OTU985_095
550,OTU_107,OTU985_128
551,OTU_110,OTU985_131
552,OTU_111,OTU985_132
553,OTU_083,OTU985_099
554,OTU_107,OTU985_128
556,OTU_112,OTU985_133
557,OTU_107,OTU985_128
558,OTU_113,OTU985_134
559,OTU_113,OTU985_134
560,OTU_021,OTU985_024
561,OTU_107,OTU985_128
564,OTU_105,OTU985_126
565,OTU_031,OTU985_056
566,OTU_080,OTU985_095
567,OTU_080,OTU985_095
568,OTU_114,OTU985_135
569,OTU_080,OTU985_095
570,OTU_107,OTU985_128
571,OTU_021,OTU985_024
572,OTU_037,OTU985_043
573,OTU_007,OTU985_008
574,OTU_115,OTU985_136
575,OTU_116,OTU985_137
576,OTU_117,OTU985_138
577,OTU_118,OTU985_139
578,OTU_107,OTU985_128
579,OTU_058,OTU985_066
580,OTU_004,OTU985_005
581,OTU_095,OTU985_116
582,OTU_119,OTU985_140
583,OTU_008,OTU985_009
584,OTU_120,OTU985_141
585,OTU_115,OTU985_136
586,OTU_121,OTU985_142
587,OTU_052,OTU985_060
588,OTU_106,OTU985_127
589,OTU_106,OTU985_127
590,OTU_106,OTU985_127
591,OTU_031,OTU985_056
592,OTU_122,OTU985_143
593,OTU_122,OTU985_143
594,OTU_080,OTU985_095
595,OTU_122,OTU985_144
596,OTU_123,OTU985_145
597,OTU_124,OTU985_146
598,OTU_123,OTU985_145
599,OTU_123,OTU985_145
601,OTU_123,OTU985_145
602,OTU_123,OTU985_145
603,OTU_125,OTU985_147
604,OTU_123,OTU985_145
605,OTU_123,OTU985_145
606,OTU_126,OTU985_148
607,OTU_127,OTU985_149
608,OTU_080,OTU985_095
609,OTU_082,OTU985_114
610,OTU_106,OTU985_127
611,OTU_107,OTU985_128
612,OTU_105,OTU985_126
613,OTU_128,OTU985_150
614,OTU_103,OTU985_124
615,OTU_103,OTU985_124
616,OTU_103,OTU985_124
617,OTU_103,OTU985_151
618,OTU_103,OTU985_124
619,OTU_129,OTU985_152
620,OTU_130,OTU985_153
621,OTU_103,OTU985_124
622,OTU_103,OTU985_124
623,OTU_103,OTU985_124
624,OTU_103,OTU985_124
625,OTU_103,OTU985_124
626,OTU_082,OTU985_114
627,OTU_131,OTU985_154
628,OTU_082,OTU985_114
629,OTU_082,OTU985_114
630,OTU_132,OTU985_155
631,OTU_106,OTU985_127
632,OTU_082,OTU985_114
633,OTU_133,OTU985_156
634,OTU_034,OTU985_039
635,OTU_103,OTU985_151
637,OTU_103,OTU985_124
638,OTU_034,OTU985_039
639,OTU_106,OTU985_127
640,OTU_082,OTU985_114
641,OTU_134,OTU985_157
643,OTU_135,OTU985_158
644,OTU_103,OTU985_124
645,OTU_103,OTU985_124
646,OTU_103,OTU985_124
647,OTU_103,OTU985_151
648,OTU_103,OTU985_124
649,OTU_103,OTU985_124
650,OTU_103,OTU985_124
651,OTU_103,OTU985_151
652,OTU_103,OTU985_124
653,OTU_136,OTU985_159
655,OTU_031,OTU985_056
660,OTU_106,OTU985_127
661,OTU_124,OTU985_146
662,OTU_124,OTU985_146
663,OTU_120,OTU985_141
665,OTU_137,OTU985_160
666,OTU_120,OTU985_161
667,OTU_106,OTU985_127
668,OTU_106,OTU985_127
669,OTU_106,OTU985_127
670,OTU_103,OTU985_124
671,OTU_106,OTU985_127
672,OTU_106,OTU985_127
673,OTU_138,OTU985_162
675,OTU_106,OTU985_127
676,OTU_103,OTU985_124
677,OTU_103,OTU985_124
678,OTU_103,OTU985_124
679,OTU_103,OTU985_124
680,OTU_103,OTU985_124
681,OTU_103,OTU985_124
682,OTU_103,OTU985_124
683,OTU_103,OTU985_124
684,OTU_139,OTU985_163
685,OTU_140,OTU985_164
686,OTU_107,OTU985_128
687,OTU_082,OTU985_114
689,OTU_106,OTU985_127
690,OTU_141,OTU985_165
691,OTU_141,OTU985_165
692,OTU_137,OTU985_160
693,OTU_134,OTU985_157
694,OTU_106,OTU985_127
695,OTU_134,OTU985_157
696,OTU_142,OTU985_166
697,OTU_141,OTU985_165
698,OTU_142,OTU985_166
699,OTU_103,OTU985_124
